FidessaVenueID,Kind,SymPrefix,FloorFrom,Up,Down,NameMarker,Rounding
JKT-MAIN,pct,,50,0.35,0.35,,
JKT-MAIN,pct,,200,0.25,0.25,,
JKT-MAIN,pct,,5000,0.20,0.20,,
KOE-MAIN,pct,,0,0.30,0.30,,
KOE-MAIN,pct,,0,0.60,0.60,leverage,nearest
KOE-MAIN,pct,,0,0.30,0.30,0.5x,nearest
KOE-MAIN,pct,,0,0.60,0.60,2x,nearest
KOE-MAIN,pct,,0,0.90,0.90,3x,nearest
KOE-MAIN,pct,,0,0.30,0.30,inverse,nearest
KSC-MAIN,pct,,0,0.30,0.30,,
KSC-MAIN,pct,,0,0.60,0.60,leverage,nearest
KSC-MAIN,pct,,0,0.30,0.30,0.5x,nearest
KSC-MAIN,pct,,0,0.60,0.60,2x,nearest
KSC-MAIN,pct,,0,0.90,0.90,3x,nearest
KSC-MAIN,pct,,0,0.30,0.30,inverse,nearest
KLS-MAIN,pct,,0,0.30,0.30,,
TAI-MAIN,pct,,0,0.10,0.10,,
PHS-MAIN,pct,,0,0.30,0.30,,
SHA-MAIN,pct,688,0,0.20,0.20,,
SHA-MAIN,pct,,0,0.10,0.10,,
SHH-MAIN,pct,688,0,0.20,0.20,,
SHH-MAIN,pct,,0,0.10,0.10,,
SSC-MAIN,pct,688,0,0.20,0.20,,
SSC-MAIN,pct,,0,0.10,0.10,,
SZA-MAIN,pct,300,0,0.20,0.20,,
SZA-MAIN,pct,,0,0.10,0.10,,
SHZ-MAIN,pct,300,0,0.20,0.20,,
SHZ-MAIN,pct,,0,0.10,0.10,,
SZC-MAIN,pct,300,0,0.20,0.20,,
SZC-MAIN,pct,,0,0.10,0.10,,
