Country,FidessaVenueID,BBGComposite,Time,Source,TickSource,MinPrice,Rounding,ExcludeFile,NoCloseFallback,TickFrom,NoDataFallback
Japan,TYO-MAIN,JP,07:30:00,bloomberg,,,,,,,
Japan,JNX-MAIN,JP,07:30:00,bloomberg,,,,,,,
Japan,CHJ-MAIN,JP,07:30:00,bloomberg,,,,,,,
Korea,KOE-MAIN,KS,07:30:00,bloomberg,,,inward,,bloomberg,coarser,computed
Korea,KSC-MAIN,KS,07:30:00,bloomberg,,,inward,,bloomberg,coarser,computed
Malaysia,KLS-MAIN,MK,07:59:00,bloomberg,,,,,bloomberg,,computed
Taiwan,TAI-MAIN,TT,07:59:00,bloomberg,,,inward,,bloomberg,coarser,computed
Indonesia,JKT-MAIN,IJ,07:59:00,bloomberg,spol_JKT.tsr,50,inward,,,,computed
China,SHA-MAIN,CH,09:03:00,bloomberg,,,,,bloomberg,,computed
China,SHH-MAIN,CH,09:03:00,bloomberg,,,,,bloomberg,,computed
China,SSC-MAIN,CH,09:03:00,bloomberg,,,,,bloomberg,,computed
China,SZA-MAIN,CH,09:03:00,bloomberg,,,,,bloomberg,,computed
China,SHZ-MAIN,CH,09:03:00,bloomberg,,,,,bloomberg,,computed
China,SZC-MAIN,CH,09:03:00,bloomberg,,,,,bloomberg,,computed
Philippines,PHS-MAIN,PM,09:03:00,bloomberg,,,,,bloomberg,,computed
Thailand,SET-MAIN,TB,10:39:00,bloomberg,,,,,,,
India,NSI-MAIN,IN,10:49:00,bloomberg,,,,in-nse_drv.stra,,,
India,BSE-MAIN,IB,10:49:00,bloomberg,,,,in-bse_drv.stra,,,
India,BSE-SECONDARY,IB,10:49:00,bloomberg,,,,,,,
