FidessaVenueID,FloorFrom,Tick
#  Tick ladders: at or above FloorFrom, the tick is Tick.
#  INDONESIA IS NOT HERE and must not be - its ladder is the ATS's own file,
#  named in markets.csv as TickSource, so it cannot drift from what the
#  trading system rounds by. A market whose ladder is the exchange's own
#  published schedule has nothing to drift from, so it lives here instead.
#  The tick comes from the REFERENCE price, not the limit being rounded.
#  Korea (KRX), the published schedule.
KSC-MAIN,0,1
KSC-MAIN,2000,5
KSC-MAIN,5000,10
KSC-MAIN,20000,50
KSC-MAIN,50000,100
KSC-MAIN,200000,500
KSC-MAIN,500000,1000
