FidessaVenueID,Kind,SymPrefix,FloorFrom,Up,Down
JKT-MAIN,pct,,50,0.35,0.35
JKT-MAIN,pct,,200,0.25,0.25
JKT-MAIN,pct,,5000,0.20,0.20
KOE-MAIN,pct,,0,0.30,0.30
KSC-MAIN,pct,,0,0.30,0.30
KLS-MAIN,pct,,0,0.30,0.30
TAI-MAIN,pct,,0,0.10,0.10
PHS-MAIN,pct,,0,0.30,0.30
SHA-MAIN,pct,688,0,0.20,0.20
SHA-MAIN,pct,,0,0.10,0.10
SHH-MAIN,pct,688,0,0.20,0.20
SHH-MAIN,pct,,0,0.10,0.10
SSC-MAIN,pct,688,0,0.20,0.20
SSC-MAIN,pct,,0,0.10,0.10
SZA-MAIN,pct,300,0,0.20,0.20
SZA-MAIN,pct,,0,0.10,0.10
SHZ-MAIN,pct,300,0,0.20,0.20
SHZ-MAIN,pct,,0,0.10,0.10
SZC-MAIN,pct,300,0,0.20,0.20
SZC-MAIN,pct,,0,0.10,0.10
