Country,FidessaVenueID,BBGComposite,Time,Source,TickSource,MinPrice,Rounding
Japan,TYO-MAIN,JP,07:30:00,bloomberg,,,
Japan,JNX-MAIN,JP,07:30:00,bloomberg,,,
Japan,CHJ-MAIN,JP,07:30:00,bloomberg,,,
Korea,KOE-MAIN,KS,07:30:00,bloomberg,,,
Korea,KSC-MAIN,KS,07:30:00,bloomberg,,,
Malaysia,KLS-MAIN,MK,07:59:00,bloomberg,,,
Taiwan,TAI-MAIN,TT,07:59:00,bloomberg,,,
Indonesia,JKT-MAIN,IJ,07:59:00,computed,spol_JKT.tsr,50,inward
China,SHA-MAIN,CH,09:03:00,bloomberg,,,
China,SHH-MAIN,CH,09:03:00,bloomberg,,,
China,SSC-MAIN,CH,09:03:00,bloomberg,,,
China,SZA-MAIN,CH,09:03:00,bloomberg,,,
China,SHZ-MAIN,CH,09:03:00,bloomberg,,,
China,SZC-MAIN,CH,09:03:00,bloomberg,,,
Philippines,PHS-MAIN,PM,09:03:00,bloomberg,,,
